name,state,city,address,latitude,longitude,type,station_id,type_label
Iocl Paul Motors Delhi,Delhi,Delhi,"Main Road, Sat Guru Ram Singh Rd, MS Block, Block F, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi, Delhi 110064",28.61986668,77.11398244,7,iocl paul motors delhi_28.61987_77.11398,AC_slow_moderate
"Hpcl - Badarpur Service Station, Gazipur",Uttar Pradesh,Delhi,"Integrated Freight Complex, Mayur Vihar Phase III, Gharoli, Delhi, Uttar Pradesh 110096",28.6197025,77.3411839,7,"hpcl - badarpur service station, gazipur_28.6197_77.34118",AC_slow_moderate
Iocl - Aaui Service Station,Delhi,Delhi,IOCL at Plot No 1 I P Estate Ring Road New Delhi,28.6179662,77.2487894,7,iocl - aaui service station_28.61797_77.24879,AC_slow_moderate
Volltic Dcs08,Delhi,New Delhi,"Golden Ikon Fleet Management, Iffco chowk delhi",28.52360775,77.08321547,13,volltic dcs08_28.52361_77.08322,
Bypl Patparganj,Delhi,Delhi,"Near Swati Apartment, Mother Dairy Marg, I.P.Extension, Mandawali, New Delhi, Delhi 110092",28.6305311,77.2926978,14,bypl patparganj_28.63053_77.2927,
Eesl Sda Market,Delhi,Delhi,"Unnamed Road, Block C 5, Hauz Khas Enclave, Hauz Khas, New Delhi, Delhi 110016",28.54873377,77.19657963,8,eesl sda market_28.54873_77.19658,Public_AC
Eesl R Block Gk1,Delhi,Delhi,"Hansraj Gupta Rd, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",28.55155916,77.24469874,8,eesl r block gk1_28.55156_77.2447,Public_AC
Ptc  Igi Airport,Delhi,New Delhi,"GI Airport, T3 Road, Indira Gandhi International Airport, New Delhi, Delhi - 110037",28.54851804,77.10435748,8,ptc  igi airport_28.54852_77.10436,Public_AC
Atul Automobile Vasant Kunj,Delhi,New Delhi,"Vasant Kunj Mall Road, Pocket 5, Sector C, Vasant Kunj, New Delhi, Delhi 110070",28.52290663,77.15668214,8,atul automobile vasant kunj_28.52291_77.15668,Public_AC
Ev Plugin Charge Vasant Square Mall,Delhi,New Delhi,"Vasant Kunj Marg, Pocket 5, Sector B, Vasant Kunj, New Delhi, Delhi 110070",28.52544024,77.15590041,8,ev plugin charge vasant square mall_28.52544_77.1559,Public_AC
Eesl Malviya Nagar Delhi,Delhi,New Delhi,"Guru Gobind Singh Marg, Old Market, Block C, Malviya Nagar, New Delhi, Delhi 110017",28.53646664,77.21145062,8,eesl malviya nagar delhi_28.53647_77.21145,Public_AC
Eesl Pvr Priya Delhi,Delhi,New Delhi,"61, Community Center, Basant Nagar, Basant Lok, Vasant Vihar, New Delhi, Delhi 110027",28.55773691,77.1579439,8,eesl pvr priya delhi_28.55774_77.15794,Public_AC
Brpl Nehru Place,Delhi,New Delhi,"BSES Bhawan, near Kalkaji Mandir metro station, Nehru Place, New Delhi, Delhi 110019",28.5495423,77.2545699,8,brpl nehru place_28.54954_77.25457,Public_AC
Eesl Aurbindo Market Place,Delhi,New Delhi,"Block C 2, Bhim Nagri, Hauz Khas, New Delhi, Delhi 110016",28.55177869,77.2033166,8,eesl aurbindo market place_28.55178_77.20332,Public_AC
Eesl Safderjung Enclave,Delhi,New Delhi,"Block B6, Humayunpur, Safdarjung Enclave, New Delhi, Delhi 110016",28.55917249,77.19648462,8,eesl safderjung enclave_28.55917_77.19648,Public_AC
Eesl N Block Gk1,Delhi,New Delhi,"N Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",28.55560464,77.23371054,8,eesl n block gk1_28.5556_77.23371,Public_AC
Ndse Grid Brpl,Delhi,New Delhi,"South Extension, Block E, South Extension II, New Delhi, Delhi 110049",28.86883053,77.14376226,8,ndse grid brpl_28.86883_77.14376,Public_AC
Eesl Dilli Haat,Delhi,New Delhi,"NDMC Parking, Dilli Haat, West Kidwai Nagar, New Delhi - 110023",28.57357604,77.207152,8,eesl dilli haat_28.57358_77.20715,Public_AC
Eesl Sarojini Nagar Market,Delhi,New Delhi,"Lal. Sai Hanuman mandir, Sarojini Nagar Market, Sarojini Nagar, New Delhi, Delhi 110023",28.57729829,77.19690865,8,eesl sarojini nagar market_28.5773_77.19691,Public_AC
Eesl Laxmi Bai Market,Delhi,New Delhi,"26B, Sri Aurobindo Marg, Aviation Colony, INA Colony, New Delhi, Delhi 110003",28.577623,77.2038986,8,eesl laxmi bai market_28.57762_77.2039,Public_AC
Indraprastha Gas Limited Shantipath,Delhi,New Delhi,"Shantipath Road, Shantipath, near Rail Museum, Moti Bagh, New Delhi, Delhi 110021",28.58267379,77.17947959,8,indraprastha gas limited shantipath_28.58267_77.17948,Public_AC
Eesl Charak Palika Hospital,Delhi,New Delhi,"F 203, Moti Bagh 1, Block F, North West Moti Bagh, New Delhi, Delhi 110021",28.58704293,77.17767714,8,eesl charak palika hospital_28.58704_77.17768,Public_AC
Eesl Yashwant Place Market,Delhi,New Delhi,"Yashwant Place, Satya Marg, Chanakyapuri, New Delhi, Delhi 110021",28.58556496,77.1913234,8,eesl yashwant place market_28.58556_77.19132,Public_AC
Eesl Psoi Club,Delhi,New Delhi,"PSOI Club Chanakyapuri, New Delhi, Delhi 110021",28.58664525,77.19360781,8,eesl psoi club_28.58665_77.19361,Public_AC
Eesl Khanna Market 1,Delhi,New Delhi,"NDMC Parking, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi -110003",28.580532,77.221048,8,eesl khanna market 1_28.58053_77.22105,Public_AC
Eesl Palika Maternity Hospital,Delhi,New Delhi,"Palika Maternity Hospital, block 11, Lodhi Colony, Near Khanna Market, New Delhi - 110003",28.583518,77.222057,8,eesl palika maternity hospital_28.58352_77.22206,Public_AC
Eesl Khanna Market 2,Delhi,New Delhi,"NDMC Parking, Opposite Dory Pharmacy, Khanna Market, Aliganj Lodhi colony, New Delhi - 110003",28.584365,77.22054,8,eesl khanna market 2_28.58436_77.22054,Public_AC
Eesl Maherchand Market Delhi,Delhi,New Delhi,"Double story Market, Maherchand Lodhi Road , New Delhi - 110003",28.581051,77.227075,8,eesl maherchand market delhi_28.58105_77.22708,Public_AC
Eesl Jor Bagh Market,Delhi,New Delhi,"NMDC Parking, Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi - 110003",28.588117,77.217564,8,eesl jor bagh market_28.58812_77.21756,Public_AC
Eesl Lodhi Garden,Delhi,New Delhi,"NMDC Parking, Gate no 1, Lodhi Gardens, Lodhi Estate, Lodhi Road New Delhi - 110003",28.590402,77.220192,8,eesl lodhi garden_28.5904_77.22019,Public_AC
Bses Hazrat Nizamuddin,Delhi,New Delhi,"Nizamuddin Railway Station, Nizamuddin East, New Delhi -110013",28.5885055,77.2570236,8,bses hazrat nizamuddin_28.58851_77.25702,Public_AC
Eesl Malcha Marg Market,Delhi,New Delhi,"NDMC Parking, Dharma Marg, block- Y, Diplomatic Enclave, Malcha Market, New Delhi - 110021",28.601809,77.186432,8,eesl malcha marg market_28.60181_77.18643,Public_AC
Eesl Khan Market,Delhi,New Delhi,"NDMC Parking, Khan Market, New Delhi - 110003",28.600324,77.226883,8,eesl khan market_28.60032_77.22688,Public_AC
