name,state,city,address,latitude,longitude,type,station_id,type_label
"Iocl - Intimate Filling Station, Soami Nagar",Delhi Ncr,Delhi,"Panchsheel Marg, Soami Nagar North, New Delhi- 110049",28.543012,77.220429,7,"iocl - intimate filling station, soami nagar_28.54301_77.22043",AC_slow_moderate
"True North, Mayapuri",Delhi Ncr,Delhi,"A1/1 Mayapuri, Industrial Area, Phase 1, New Delhi 110064",28.633301,77.126961,7,"true north, mayapuri_28.6333_77.12696",AC_slow_moderate
"Iocl - Coco Niti Marg, Chanakyapuri",Delhi Ncr,Delhi,"Niti Marg, ChanakyaPuri, New Delhi-110021",28.599629,77.195806,7,"iocl - coco niti marg, chanakyapuri_28.59963_77.19581",AC_slow_moderate
"Sagar Motors, Dilshad Garden",Delhi Ncr,Delhi,"No ZB/43 487 & ZB, 44 487, Dilshad Garden, New Delhi, Delhi 110095",28.676246,77.31768,7,"sagar motors, dilshad garden_28.67625_77.31768",AC_slow_moderate
"Pacific Mall, Tagore Garden",Delhi Ncr,Delhi,"Najafgarh Rd, Tagore Garden, Tilak Nagar, New Delhi, Delhi 110018",28.6422188,77.1058913,7,"pacific mall, tagore garden_28.64222_77.10589",AC_slow_moderate
Iocl Risal Petro Delhi,Delhi Ncr,Delhi,"Burari Rd, opposite Sta Tpt Authority, Laldora, Jharoda, Jharoda Majra Burari, New Delhi, Delhi 110084",28.7324265,77.1986248,7,iocl risal petro delhi_28.73243_77.19862,AC_slow_moderate
Iocl Paul Motors Delhi,Delhi Ncr,Delhi,"Main Road, Sat Guru Ram Singh Rd, MS Block, Block F, Mayapuri Industrial Area Phase II, Mayapuri, New Delhi, Delhi 110064",28.61986668,77.11398244,7,iocl paul motors delhi_28.61987_77.11398,AC_slow_moderate
Iocl Bedi Saxena Delhi,Delhi Ncr,Delhi,"B-88-5, 86-5, Sat Guru Ram Singh Rd, Block B, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi 110064",28.627092,77.121841,7,iocl bedi saxena delhi_28.62709_77.12184,AC_slow_moderate
Aargo Csc Minto Road,Delhi Ncr,New Delhi,"CSC NDMC CENTER MINTO ROAD OPPOSITE K BLOCK, NEW DELHI,NEW DELHI,110001",28.63547,77.2213,22,aargo csc minto road_28.63547_77.2213,Ultra_fast
"Iocl - Citi Fuels, Virender Nagar",Delhi Ncr,Delhi,OPP.-VIRENDER NAGAR NEAR BHARATI COLLEGE NEW DELHI-110058,28.622486,77.09547,7,"iocl - citi fuels, virender nagar_28.62249_77.09547",AC_slow_moderate
"Iocl - Gay Service Station, Azadpur",Delhi Ncr,Delhi,"Near Azadpur, New Delhi,110033",28.703312,77.181109,7,"iocl - gay service station, azadpur_28.70331_77.18111",AC_slow_moderate
"Pacific Mall,  Dwarka",Delhi Ncr,Delhi,"Dwarka sector 21 metro station, PACIFIC MALL, Sector 22 Rd, Sector 21, Dwarka, New Delhi, Delhi 110077",28.5512199,77.056702,7,"pacific mall,  dwarka_28.55122_77.0567",AC_slow_moderate
"Vardhaman Times Plaza, Pitampura",Delhi Ncr,Delhi,"LG 1, Vardhaman Times Plaza, Plot No. 13, Saint Nagar Delhi, Pitampura, Delhi - 110034",28.6874177,77.1341163,7,"vardhaman times plaza, pitampura_28.68742_77.13412",AC_slow_moderate
"Hpcl - Delhi Punjab Fuel Station, Singhu Border",Delhi Ncr,Delhi,"15/1 Gt.karnal RD. Singhu Border, Po, Narela, Delhi, 110040",28.8558802,77.1245004,7,"hpcl - delhi punjab fuel station, singhu border_28.85588_77.1245",AC_slow_moderate
"Dlf - The Crest, Sec 43",Delhi Ncr,Gurgaon,"DLF Phase 5, Sector 43, Gurugram, Haryana 122002",28.4438196,77.1117253,7,"dlf - the crest, sec 43_28.44382_77.11173",AC_slow_moderate
"Dlf - The Camellias, Golf Course Road",Delhi Ncr,Gurgaon,"The Camellias, Golf Course Road , Gurgaon - 122009",28.451114,77.100126,7,"dlf - the camellias, golf course road_28.45111_77.10013",AC_slow_moderate
Iocl - Aaui Service Station,Delhi Ncr,Delhi,IOCL at Plot No 1 I P Estate Ring Road New Delhi-110002,28.6179662,77.2487894,7,iocl - aaui service station_28.61797_77.24879,AC_slow_moderate
"Ginger Hotel, Sector- 63",Delhi Ncr,Noida,"Ginger Hotel Noida East East - Block-H, Sector- 63, Noida 201301",28.6257406,77.3753188,7,"ginger hotel, sector- 63_28.62574_77.37532",AC_slow_moderate
"Vatika Market Place I, Sector 84",Delhi Ncr,Gurgaon,"Sector 84, Gurugram, Haryana 122004",28.4022133,76.969045,7,"vatika market place i, sector 84_28.40221_76.96904",AC_slow_moderate
"Vatika Market Place Ii, Sector 83",Delhi Ncr,Gurgaon,"Sector 83, Gurugram, Haryana - 122004",28.391085,76.97266,7,"vatika market place ii, sector 83_28.39108_76.97266",AC_slow_moderate
"Worldmark 2, Aerocity",Delhi Ncr,Delhi,"Worldmark Aerocity, New Delhi  - 110037",28.5494799,77.1213702,7,"worldmark 2, aerocity_28.54948_77.12137",AC_slow_moderate
"Worldmark 2, Aerocity",Delhi Ncr,Delhi,"Worldmark Aerocity, New Delhi  - 110037",28.5494799,77.1213702,7,"worldmark 2, aerocity_28.54948_77.12137",AC_slow_moderate
"Worldmark 3, Aerocity",Delhi Ncr,Delhi,"Worldmark Aerocity, New Delhi  - 110037",28.5516849,77.1216672,7,"worldmark 3, aerocity_28.55168_77.12167",AC_slow_moderate
"Worldmark 3, Aerocity",Delhi Ncr,Delhi,"Worldmark Aerocity, New Delhi  - 110037",28.5516849,77.1216672,7,"worldmark 3, aerocity_28.55168_77.12167",AC_slow_moderate
"Worldmark Gurgaon, Sector 65",Delhi Ncr,Gurgaon,"Worldmark Gurgaon Maidawas Rd, Sector 65, Gurugram, Haryana 122001",28.3977181,77.0715213,7,"worldmark gurgaon, sector 65_28.39772_77.07152",AC_slow_moderate
"Worldmark Gurgaon, Sector 65",Delhi Ncr,Gurgaon,"Worldmark Gurgaon Maidawas Rd, Sector 65, Gurugram, Haryana 122001",28.3977181,77.0715213,7,"worldmark gurgaon, sector 65_28.39772_77.07152",AC_slow_moderate
"Sparsh , Garg Plaza - Dwarka",Delhi Ncr,Delhi,"RZ A- 70, Garg Plaza, Dabri - Palam Road, Dwarka, Delhi, Delhi - 110043",28.60585,77.08133,7,"sparsh , garg plaza - dwarka_28.60585_77.08133",AC_slow_moderate
"Iocl Hundred Percent Filling & Service Station, Dwarka",Maharashtra,Delhi,"Sector 9, Dwarka, New Delhi, Delhi 110073",28.578641,77.05962,7,"iocl hundred percent filling & service station, dwarka_28.57864_77.05962",AC_slow_moderate
"Ardee Mall, Sec 52 Gurgaon",Delhi Ncr,Gurgaon,"Ardee City Road, Sector 52, Gurgaon-122022",28.444672,77.08082,7,"ardee mall, sec 52 gurgaon_28.44467_77.08082",AC_slow_moderate
"Iocl - Ruchika Service Station, Mayur Vihar",Delhi Ncr,Delhi,"KONDLI GHARAOLI,  MAYUR VIHAR PH-III NEW DELHI-110096",28.6034988,77.3354221,7,"iocl - ruchika service station, mayur vihar_28.6035_77.33542",AC_slow_moderate
"Pacific Mall, Netaji Subash Palace",Delhi Ncr,Delhi,"Pitam Pura, New Delhi, Delhi 110034",28.6933409,77.1531325,7,"pacific mall, netaji subash palace_28.69334_77.15313",AC_slow_moderate
"Iocl - Tikri Gas, Delhi",Delhi Ncr,Delhi,"Rohtak Road, Block C, Tyagi Vihar, Ghevra, Delhi, 110072",28.6868847,76.9849286,7,"iocl - tikri gas, delhi_28.68688_76.98493",AC_slow_moderate
"Hpcl - Badarpur Service Station, Gazipur",Delhi Ncr,Delhi,"Integrated Freight Complex, Mayur Vihar Phase III, Gharoli, Delhi, Uttar Pradesh 110096",28.6197025,77.3411839,7,"hpcl - badarpur service station, gazipur_28.6197_77.34118",AC_slow_moderate
Tata Power,Delhi,Delhi,"MVID MCD Hospital, Mukherjee Nagar, MVID MCD Hospital Parking, Tagore Park Extension, Mukherjee Nagar, Delhi, 110009",28.7036992,77.2044734,7,tata power_28.7037_77.20447,AC_slow_moderate
Tata Power,Delhi,Delhi,"Naniwala Bagh Commercial Complex, Azadpur, Commercial Complex, Gopal Nagar, Azadpur, New Delhi, Delhi 110009",28.709831,77.17765,7,tata power_28.70983_77.17765,AC_slow_moderate
Tata Power,Delhi,Delhi,"Netaji Subash Place, Pitampura, MCD, Netaji Subhash Place, Pitampura, Delhi, 110034",28.6912791,77.1523963,7,tata power_28.69128_77.1524,AC_slow_moderate
Tata Power,Delhi,Delhi,"Parking Near Manglam Place, Rohini, MCD parking Near Mangalam Palace, Rohini Sector 3, 110085",28.6981417,77.1164514,7,tata power_28.69814_77.11645,AC_slow_moderate
Tata Power,Delhi,Delhi,"PVR Naraina, Commercial Complex, Community Center, Goswami Girdhari Lal Marg, Industrial Area Phase I, Block B, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028",28.6321091,77.1372683,7,tata power_28.63211_77.13727,AC_slow_moderate
Tata Power,Delhi,Delhi,"Ssensse Hotel, Sec 25, PLOT NO.28, POCKET 5A, SECTOR 25, ROHINI NEW Delhi 110085",28.735847,77.093263,7,tata power_28.73585_77.09326,AC_slow_moderate
Tata Power,Delhi,Delhi,"Tanga Stand, Moti Nagar, MCD Parking, Tanga Stand Road, Motinagar metro station, Moti Nagar, Delhi, 110015",28.6591233,77.1436388,7,tata power_28.65912_77.14364,AC_slow_moderate
Tata Power,Delhi,Delhi,"Videocon Tower, Jhandewalan, E3/15, Block E3, Jhandewalan Extension, Jhandewalan, New Delhi - 110005",28.6449172,77.2025135,7,tata power_28.64492_77.20251,AC_slow_moderate
